# seconds.nanoseconds(sequence)	frequency_sine[Hz]	amplitude_sine[V]	phase_sine[rad]	rocof_sine[Hz/s]
1720169683.101000000(4201)	49.98607257425161521	14.13833229471611652	0.84032529828438385	-0.00249784116789442
1720169683.301000000(4401)	50.00587994994066321	14.14507344316035287	-0.39425717907900548	0.09903687844524001
1720169683.501000000(4601)	50.02119625206207587	14.15160106091680170	-0.60811512181221872	0.07658151060706331
1720169683.701000000(4801)	49.98146509574553420	14.13656861400317588	0.89575642666812882	-0.19865578158270836
1720169683.901000000(5001)	50.01126375410990477	14.13844576098339267	-0.30059698137698376	0.14899329182185284
1720169684.101000000(5201)	49.99923127973595172	14.13427692213426390	0.08752689916912004	-0.06016237186976525
1720169684.301000000(5401)	49.99542034718854211	14.14089252322238544	0.08620530195580045	-0.01905466273704803
1720169684.501000000(5601)	50.00437610667171384	14.13949240056675549	0.06968912417892170	0.04477879741585866
1720169684.701000000(5801)	50.00384692170923984	14.13553701410813979	-0.06576605900080779	-0.00264592481237003
1720169684.901000000(6001)	50.00497749736162234	14.14232305028567005	-0.24264262822063642	0.00565287826191252
1720169685.101000000(6201)	49.99595989477702318	14.14972412925093437	0.08443358019503933	-0.04508801292299580
1720169685.301000000(6401)	49.99480036061422794	14.15134964637875470	0.18286372815880725	-0.00579767081397620
1720169685.501000000(6601)	49.99531022275021996	14.14383873456277740	0.12028300517684443	0.00254931067996012
1720169685.701000000(6801)	49.99224013019633617	14.14206482072873605	0.30339135624190305	-0.01535046276941898
1720169685.901000000(7001)	49.99724038765047851	14.13801047124398735	0.06968110555891371	0.02500128727071171
1720169686.101000000(7201)	49.99409087131129326	14.15059882743366337	0.14069665074519833	-0.01574758169592627
1720169686.301000000(7401)	50.00061973145269434	14.13700177976821770	-0.08644682082245936	0.03264430070700541
1720169686.501000000(7601)	49.99552129073826734	14.14200434447322330	0.15239921412165813	-0.02549220357213500
1720169686.701000000(7801)	50.00273363969932205	14.14087460265431417	-0.19838217156564042	0.03606174480527358
1720169686.901000000(8001)	50.00353938258895425	14.14829407445796861	-0.27559486300937408	0.00402871444816100
1720169687.101000000(8201)	49.99578764325907798	14.14863848380073641	0.10186777981964212	-0.03875869664938136
1720169687.301000000(8401)	49.99455174521846601	14.14401818804946487	0.05876457700202309	-0.00617949020305986
1720169687.501000000(8601)	49.99202295292436560	14.15190452809680011	0.27196893509638187	-0.01264396147050206
1720169687.701000000(8801)	49.99317210257544275	14.14515383835128581	0.13315770028111729	0.00574574825538576
1720169687.901000000(9001)	49.99805107772806423	14.13655641259850526	-0.03893812183476086	0.02439487576310739
1720169688.101000000(9201)	50.00436718990399498	14.13978041215468551	-0.20229820491775286	0.03158056087965377
1720169688.301000000(9401)	50.00388066910926455	14.13398729749272853	-0.12693246478210085	-0.00243260397365219
1720169688.501000000(9601)	50.01133747352455572	14.14699398837777622	-0.14925806601101499	0.03728402207645587
1720169688.701000000(9801)	50.00674283059300507	14.13941852842115487	-0.26612328131915319	-0.02297321465775326
1720169688.901000000(10001)	49.96948386529177810	14.14829374429180397	1.54811363434245663	-0.18629482650613483
1720169689.101000000(10201)	50.01123872627529465	14.15445288396336032	-0.42282646733359286	0.20877430491758275
1720169689.301000000(10401)	50.00456846256323473	14.13684706406626113	-0.16413378417000501	-0.03335131856029960
1720169689.501000000(10601)	50.00270148485356003	14.14481393431541534	-0.03958561391934268	-0.00933488854837350
1720169689.701000000(10801)	49.99646006771855866	14.14074573160194248	-0.00357726868271868	-0.03120708567500685
1720169689.901000000(11001)	49.99924626128971283	14.13508729198345826	-0.03147997109391554	0.01393096785577086
1720169690.101000000(11201)	49.99864758890444705	14.13729929897985294	-0.02821488606663536	-0.00299336192632893
1720169690.301000000(11401)	50.00677569771282549	14.13858631437819824	-0.26596245266547669	0.04064054404189221
1720169690.501000000(11601)	50.00281384926968542	14.13625359183446406	0.01460359672684319	-0.01980924221570035
1720169690.701000000(11801)	50.00002956666777010	14.13747965652114402	-0.12898323585690719	-0.01392141300957661
1720169690.901000000(12001)	49.99716683682874674	14.14685596659049516	-0.06328113141873359	-0.01431364919511680
1720169691.101000000(12201)	50.00246185135343069	14.15046227363890807	-0.17136729180185739	0.02647507262341975
1720169691.301000000(12401)	49.99175987553841338	14.14378870529326626	0.17005827811986762	-0.05350987907508653
1720169691.501000000(12601)	50.00150227177652340	14.15350664185101870	-0.05337218560514145	0.04871198119055009
1720169691.701000000(12805)	52.06645599310171235	13.37197614720630945	-53.76964077379392393	10.32476860662594476
1720169691.897000000(13001)	49.99948042749535659	14.14949219753182064	-0.18230201176851324	-10.33487782803177879
1720169692.100401600(13200)	49.99615621830264445	14.15058712637697802	-17.91498551473141276	-0.01662104596356073
1720169692.300200784(13399)	50.00120513966690794	14.14572510652241633	-36.03180293483188734	0.02524460682131746
1720169692.499999968(13598)	50.00786209218400558	14.13679624629306275	-54.23214426231191965	0.03328476258548818
1720169692.699799152(13797)	50.00112583422039592	14.14020885277548167	-72.19368473109616957	-0.03368128981804830
1720169692.900602352(13997)	50.00473254980104088	14.14615643544525980	-72.27767331875796231	0.01803357790322480
1720169693.101000000(14201)	49.99778989758622316	14.14193457769278872	0.03045475449353319	-0.03471326107408856
1720169693.301000000(14401)	49.99975009531498671	14.13257526159931565	-0.05272742426980415	0.00980098864381773
1720169693.501000000(14601)	49.99549668565141758	14.14549300889990491	0.18421760628750405	-0.02126704831784565
